s188,"(1, 1)"
s194,"(1, 1)"
s836,"(1, 1)"
v0025,"(1, 1)"
v0321,"(1, 1)"
v0329,"(1, 1)"
v0521,"(1, 1)"
v0535,"(1, 1)"
v0595,"(1, 1)"
v0600,"(2, 2)"
v0656,"(2, 2)"
v1063,"(2, 2)"
v1126,"(1, 1)"
v1348,"(2, 2)"
v1434,"(3, 3)"
v1811,"(2, 2)"
v1935,"(3, 3)"
v1964,"(2, 2)"
v1971,"(1, 1)"
v2001,"(1, 1)"
v2257,"(1, 1)"
v2272,"(1, 1)"
v2508,"(1, 1)"
v2743,"(1, 1)"
v2861,"(1, 1)"
v2869,"(1, 1)"
v2888,"(4, 4)"
v3093,"(1, 1)"
v3169,"(1, 1)"
v3423,"(1, 1)"
v3541,"(2, 2)"
t00017,"(1, 1)"
t00027,"(1, 1)"
t00565,"(1, 1)"
t00577,"(1, 1)"
t01039,"(1, 1)"
t01142,"(1, 1)"
t01235,"(2, 2)"
t01342,"(3, 3)"
t01779,"(1, 1)"
t01901,"(1, 1)"
t02019,"(1, 1)"
t02069,"(1, 1)"
t02188,"(1, 1)"
t02275,"(3, 3)"
t02599,"(3, 3)"
t02634,"(2, 2)"
t02795,"(5, 5)"
t03592,"(5, 5)"
t03608,"(1, 1)"
t04359,"(5, 4)"
t04364,"(2, 2)"
t04507,"(2, 2)"
t04651,"(2, 2)"
t04875,"(4, 4)"
t04928,"(4, 4)"
t05074,"(1, 1)"
t05252,"(1, 1)"
t05269,"(1, 1)"
t05288,"(1, 1)"
t05399,"(4, 4)"
t06161,"(2, 2)"
t07094,"(6, 5)"
t07123,"(7, 6)"
t07168,"(2, 2)"
t07281,"(1, 1)"
t07452,"(1, 1)"
t07487,"(4, 4)"
t07550,"(3, 3)"
t07579,"(4, 4)"
t07599,"(1, 1)"
t07687,"(4, 4)"
t07693,"(6, 5)"
t07967,"(7, 6)"
t08173,"(3, 3)"
t08237,"(7, 6)"
t08306,"(1, 1)"
t08346,"(3, 3)"
t08386,"(4, 4)"
t08443,"(1, 1)"
t08508,"(2, 2)"
t08617,"(1, 1)"
t08967,"(1, 1)"
t09218,"(1, 1)"
t09900,"(1, 1)"
t09927,"(1, 1)"
t10416,"(1, 1)"
t10500,"(2, 2)"
t10558,"(2, 2)"
t10620,"(3, 3)"
t10645,"(1, 1)"
t10887,"(2, 2)"
t10930,"(2, 2)"
t10974,"(1, 1)"
t11139,"(3, 3)"
t11248,"(1, 1)"
t11292,"(5, 5)"
t11402,"(1, 1)"
t11418,"(1, 1)"
t11441,"(2, 2)"
