Name,DT Name,DT Notation
10_7,10a_65,[4; 12; 14; 18; 16; 20; 2; 10; 8; 6]
10_8,10a_114,[6; 14; 12; 16; 18; 20; 4; 2; 8; 10]
10_9,10a_110,[6; 12; 14; 16; 18; 20; 4; 2; 8; 10]
10_10,10a_64,[4; 12; 14; 18; 16; 2; 20; 10; 8; 6]
10_11,10a_116,[6; 14; 12; 18; 20; 16; 4; 2; 10; 8]
10_12,10a_43,[4; 10; 14; 16; 2; 20; 18; 6; 8; 12]
10_13,10a_54,[4; 10; 18; 16; 12; 2; 20; 8; 6; 14]
10_14,10a_33,[4; 10; 12; 16; 18; 2; 20; 6; 8; 14]
10_15,10a_68,[4; 12; 16; 18; 14; 2; 10; 20; 6; 8]
10_16,10a_115,[6; 14; 12; 16; 18; 20; 4; 2; 10; 8]
10_17,10a_107,[6; 12; 14; 16; 18; 2; 4; 20; 8; 10]
10_18,10a_63,[4; 12; 14; 18; 16; 2; 10; 20; 8; 6]
10_19,10a_108,[6; 12; 14; 16; 18; 2; 4; 20; 10; 8]
10_20,10a_74,[4; 12; 18; 20; 16; 14; 2; 10; 8; 6]
10_21,10a_60,[4; 12; 14; 16; 18; 20; 2; 6; 10; 8]
10_22,10a_112,[6; 12; 14; 18; 20; 16; 4; 2; 10; 8]
10_23,10a_57,[4; 12; 14; 16; 18; 2; 20; 6; 10; 8]
10_24,10a_71,[4; 12; 16; 18; 20; 14; 2; 10; 8; 6]
10_25,10a_61,[4; 12; 14; 16; 18; 20; 2; 10; 8; 6]
10_26,10a_111,[6; 12; 14; 16; 18; 20; 4; 2; 10; 8]
10_27,10a_58,[4; 12; 14; 16; 18; 2; 20; 10; 8; 6]
10_28,10a_44,[4; 10; 14; 16; 2; 20; 18; 8; 6; 12]
10_29,10a_53,[4; 10; 16; 18; 12; 2; 20; 8; 6; 14]
10_30,10a_34,[4; 10; 12; 16; 18; 2; 20; 8; 6; 14]
10_31,10a_69,[4; 12; 16; 18; 14; 2; 10; 20; 8; 6]
10_32,10a_55,[4; 12; 14; 16; 18; 2; 10; 20; 8; 6]
10_33,10a_109,[6; 12; 14; 16; 18; 4; 2; 20; 10; 8]
10_34,10a_19,[4; 8; 14; 2; 20; 18; 16; 6; 12; 10]
10_35,10a_23,[4; 8; 16; 10; 2; 20; 18; 6; 14; 12]
10_36,10a_5,[4; 8; 10; 16; 2; 20; 18; 6; 14; 12]
10_37,10a_49,[4; 10; 16; 12; 2; 8; 20; 18; 6; 14]
10_38,10a_29,[4; 10; 12; 16; 2; 8; 20; 18; 6; 14]
10_39,10a_26,[4; 10; 12; 14; 18; 2; 6; 20; 8; 16]
10_40,10a_30,[4; 10; 12; 16; 2; 20; 6; 18; 8; 14]
10_41,10a_35,[4; 10; 12; 16; 20; 2; 8; 18; 6; 14]
10_42,10a_31,[4; 10; 12; 16; 2; 20; 8; 18; 6; 14]
10_43,10a_52,[4; 10; 16; 14; 2; 20; 8; 18; 6; 12]
10_44,10a_32,[4; 10; 12; 16; 14; 2; 20; 18; 8; 6]
10_45,10a_25,[4; 10; 12; 14; 16; 2; 20; 18; 8; 6]
10_46,10a_81,[6; 8; 14; 2; 16; 18; 20; 4; 10; 12]
10_47,10a_15,[4; 8; 14; 2; 16; 18; 20; 6; 10; 12]
10_48,10a_79,[6; 8; 14; 2; 16; 18; 4; 20; 10; 12]
10_49,10a_13,[4; 8; 14; 2; 16; 18; 6; 20; 10; 12]
10_50,10a_82,[6; 8; 14; 2; 16; 18; 20; 4; 12; 10]
10_51,10a_16,[4; 8; 14; 2; 16; 18; 20; 6; 12; 10]
10_52,10a_80,[6; 8; 14; 2; 16; 18; 4; 20; 12; 10]
10_53,10a_14,[4; 8; 14; 2; 16; 18; 6; 20; 12; 10]
10_54,10a_48,[4; 10; 16; 12; 2; 8; 18; 20; 6; 14]
10_55,10a_9,[4; 8; 12; 2; 16; 6; 20; 18; 10; 14]
10_56,10a_28,[4; 10; 12; 16; 2; 8; 18; 20; 6; 14]
10_57,10a_6,[4; 8; 12; 2; 14; 18; 6; 20; 10; 16]
10_58,10a_20,[4; 8; 14; 10; 2; 18; 6; 20; 12; 16]
10_59,10a_2,[4; 8; 10; 14; 2; 18; 6; 20; 12; 16]
10_60,10a_1,[4; 8; 10; 14; 2; 16; 18; 6; 20; 12]
10_61,10a_123,[8; 10; 16; 14; 2; 18; 20; 6; 4; 12]
10_62,10a_41,[4; 10; 14; 16; 2; 18; 20; 6; 8; 12]
10_63,10a_51,[4; 10; 16; 14; 2; 18; 8; 6; 20; 12]
10_64,10a_122,[8; 10; 14; 16; 2; 18; 20; 6; 4; 12]
10_65,10a_42,[4; 10; 14; 16; 2; 18; 20; 8; 6; 12]
10_66,10a_40,[4; 10; 14; 16; 2; 18; 8; 6; 20; 12]
10_67,10a_37,[4; 10; 14; 12; 18; 2; 6; 20; 8; 16]
10_68,10a_67,[4; 12; 16; 14; 18; 2; 20; 6; 10; 8]
10_69,10a_38,[4; 10; 14; 12; 18; 2; 16; 6; 20; 8]
10_70,10a_22,[4; 8; 16; 10; 2; 18; 20; 6; 14; 12]
10_71,10a_10,[4; 8; 12; 2; 18; 14; 6; 20; 10; 16]
10_72,10a_4,[4; 8; 10; 16; 2; 18; 20; 6; 14; 12]
10_73,10a_3,[4; 8; 10; 14; 2; 18; 16; 6; 20; 12]
10_74,10a_62,[4; 12; 14; 16; 20; 18; 2; 8; 6; 10]
10_75,10a_27,[4; 10; 12; 14; 18; 2; 16; 6; 20; 8]
10_76,10a_73,[4; 12; 18; 20; 14; 16; 2; 10; 8; 6]
10_77,10a_18,[4; 8; 14; 2; 18; 20; 16; 6; 12; 10]
10_78,10a_17,[4; 8; 14; 2; 18; 16; 6; 12; 20; 10]
10_79,10a_78,[6; 8; 12; 2; 16; 4; 18; 20; 10; 14]
10_80,10a_8,[4; 8; 12; 2; 16; 6; 18; 20; 10; 14]
10_81,10a_7,[4; 8; 12; 2; 16; 6; 18; 10; 20; 14]
10_82,10a_83,[6; 8; 14; 16; 4; 18; 20; 2; 10; 12]
10_83,10a_87,[6; 8; 16; 14; 4; 18; 20; 2; 12; 10]
10_84,10a_50,[4; 10; 16; 14; 2; 8; 18; 20; 12; 6]
10_85,10a_86,[6; 8; 16; 14; 4; 18; 20; 2; 10; 12]
10_86,10a_84,[6; 8; 14; 16; 4; 18; 20; 2; 12; 10]
10_87,10a_39,[4; 10; 14; 16; 2; 8; 18; 20; 12; 6]
10_88,10a_11,[4; 8; 12; 14; 2; 16; 20; 18; 10; 6]
10_89,10a_21,[4; 8; 14; 12; 2; 16; 20; 18; 10; 6]
10_90,10a_92,[6; 10; 14; 2; 16; 20; 18; 8; 4; 12]
10_91,10a_106,[6; 10; 20; 14; 16; 18; 4; 8; 2; 12]
10_92,10a_46,[4; 10; 14; 18; 2; 16; 8; 20; 12; 6]
10_93,10a_101,[6; 10; 16; 20; 14; 4; 18; 2; 12; 8]
10_94,10a_91,[6; 10; 14; 2; 16; 18; 20; 8; 4; 12]
10_95,10a_47,[4; 10; 14; 18; 2; 16; 20; 8; 12; 6]
10_96,10a_24,[4; 8; 18; 12; 2; 16; 20; 6; 10; 14]
