Name,DT Name,PD Notation
9_6,9a_23,[[1;13;2;12];[3;7;4;6];[5;15;6;14];[7;3;8;2];[9;17;10;16];[11;1;12;18];[13;5;14;4];[15;9;16;8];[17;11;18;10]]
9_7,9a_26,[[2;10;3;9];[4;12;5;11];[6;16;7;15];[8;6;9;5];[10;4;11;3];[12;2;13;1];[14;18;15;17];[16;8;17;7];[18;14;1;13]]
9_8,9a_8,[[1;16;2;17];[3;14;4;15];[5;11;6;10];[7;1;8;18];[9;13;10;12];[11;7;12;6];[13;4;14;5];[15;2;16;3];[17;9;18;8]]
9_9,9a_33,[[1;13;2;12];[3;9;4;8];[5;15;6;14];[7;17;8;16];[9;3;10;2];[11;1;12;18];[13;5;14;4];[15;7;16;6];[17;11;18;10]]
9_10,9a_39,[[1;13;2;12];[3;11;4;10];[5;17;6;16];[7;15;8;14];[9;1;10;18];[11;3;12;2];[13;5;14;4];[15;7;16;6];[17;9;18;8]]
9_11,9a_20,[[2;7;3;8];[4;13;5;14];[6;15;7;16];[8;12;9;11];[10;17;11;18];[12;3;13;4];[14;5;15;6];[16;2;17;1];[18;9;1;10]]
9_12,9a_22,[[2;9;3;10];[4;16;5;15];[6;14;7;13];[8;3;9;4];[10;18;11;17];[12;8;13;7];[14;6;15;5];[16;2;17;1];[18;12;1;11]]
9_13,9a_34,[[2;12;3;11];[4;14;5;13];[6;16;7;15];[8;18;9;17];[10;6;11;5];[12;4;13;3];[14;2;15;1];[16;10;17;9];[18;8;1;7]]
9_14,9a_17,[[1;12;2;13];[3;10;4;11];[5;16;6;17];[7;1;8;18];[9;4;10;5];[11;2;12;3];[13;9;14;8];[15;6;16;7];[17;15;18;14]]
9_15,9a_10,[[2;9;3;10];[4;7;5;8];[6;15;7;16];[8;3;9;4];[10;14;11;13];[12;17;13;18];[14;5;15;6];[16;2;17;1];[18;11;1;12]]
9_16,9a_25,[[1;9;2;8];[3;11;4;10];[5;15;6;14];[7;5;8;4];[9;3;10;2];[11;17;12;16];[13;1;14;18];[15;7;16;6];[17;13;18;12]]
9_17,9a_14,[[1;9;2;8];[3;12;4;13];[5;16;6;17];[7;1;8;18];[9;3;10;2];[11;4;12;5];[13;11;14;10];[15;6;16;7];[17;15;18;14]]
9_18,9a_24,[[2;12;3;11];[4;2;5;1];[6;16;7;15];[8;14;9;13];[10;18;11;17];[12;4;13;3];[14;8;15;7];[16;10;17;9];[18;6;1;5]]
9_19,9a_3,[[2;14;3;13];[4;11;5;12];[6;4;7;3];[8;17;9;18];[10;5;11;6];[12;8;13;7];[14;2;15;1];[16;9;17;10];[18;16;1;15]]
9_20,9a_19,[[1;11;2;10];[3;16;4;17];[5;13;6;12];[7;3;8;2];[9;1;10;18];[11;15;12;14];[13;7;14;6];[15;4;16;5];[17;9;18;8]]
9_21,9a_21,[[2;7;3;8];[4;13;5;14];[6;15;7;16];[8;12;9;11];[10;17;11;18];[12;5;13;6];[14;3;15;4];[16;2;17;1];[18;9;1;10]]
9_22,9a_2,[[1;7;2;6];[3;8;4;9];[5;14;6;15];[7;11;8;10];[9;2;10;3];[11;17;12;16];[13;1;14;18];[15;4;16;5];[17;13;18;12]]
9_23,9a_16,[[2;16;3;15];[4;12;5;11];[6;4;7;3];[8;18;9;17];[10;14;11;13];[12;6;13;5];[14;8;15;7];[16;2;17;1];[18;10;1;9]]
9_24,9a_7,[[1;13;2;12];[3;7;4;6];[5;1;6;18];[7;14;8;15];[9;16;10;17];[11;3;12;2];[13;10;14;11];[15;8;16;9];[17;5;18;4]]
9_25,9a_4,[[2;10;3;9];[4;17;5;18];[6;12;7;11];[8;4;9;3];[10;14;11;13];[12;8;13;7];[14;2;15;1];[16;5;17;6];[18;16;1;15]]
9_26,9a_15,[[2;10;3;9];[4;11;5;12];[6;17;7;18];[8;15;9;16];[10;14;11;13];[12;3;13;4];[14;2;15;1];[16;5;17;6];[18;7;1;8]]
9_27,9a_12,[[2;9;3;10];[4;7;5;8];[6;14;7;13];[8;15;9;16];[10;18;11;17];[12;3;13;4];[14;6;15;5];[16;2;17;1];[18;12;1;11]]
9_28,9a_5,[[1;16;2;17];[3;15;4;14];[5;3;6;2];[7;13;8;12];[9;7;10;6];[11;18;12;1];[13;9;14;8];[15;5;16;4];[17;10;18;11]]
9_29,9a_31,[[2;10;3;9];[4;17;5;18];[6;12;7;11];[8;4;9;3];[10;15;11;16];[12;6;13;5];[14;1;15;2];[16;7;17;8];[18;13;1;14]]
9_30,9a_1,[[1;9;2;8];[3;16;4;17];[5;1;6;18];[7;12;8;13];[9;3;10;2];[11;6;12;7];[13;10;14;11];[15;4;16;5];[17;15;18;14]]
9_31,9a_13,[[1;9;2;8];[3;10;4;11];[5;13;6;12];[7;1;8;18];[9;16;10;17];[11;15;12;14];[13;7;14;6];[15;4;16;5];[17;3;18;2]]
9_32,9a_6,[[2;8;3;7];[4;9;5;10];[6;13;7;14];[8;16;9;15];[10;5;11;6];[12;17;13;18];[14;3;15;4];[16;2;17;1];[18;11;1;12]]
9_33,9a_11,[[1;15;2;14];[3;16;4;17];[5;12;6;13];[7;5;8;4];[9;2;10;3];[11;6;12;7];[13;1;14;18];[15;11;16;10];[17;8;18;9]]
9_34,9a_28,[[2;13;3;14];[4;17;5;18];[6;16;7;15];[8;4;9;3];[10;5;11;6];[12;8;13;7];[14;1;15;2];[16;11;17;12];[18;10;1;9]]
9_35,9a_40,[[2;12;3;11];[4;16;5;15];[6;14;7;13];[8;18;9;17];[10;4;11;3];[12;2;13;1];[14;6;15;5];[16;10;17;9];[18;8;1;7]]
9_36,9a_9,[[2;15;3;16];[4;11;5;12];[6;4;7;3];[8;17;9;18];[10;5;11;6];[12;10;13;9];[14;1;15;2];[16;7;17;8];[18;13;1;14]]
9_37,9a_18,[[1;10;2;11];[3;14;4;15];[5;1;6;18];[7;17;8;16];[9;2;10;3];[11;9;12;8];[13;4;14;5];[15;13;16;12];[17;7;18;6]]
9_38,9a_30,[[2;14;3;13];[4;10;5;9];[6;16;7;15];[8;4;9;3];[10;18;11;17];[12;6;13;5];[14;2;15;1];[16;12;17;11];[18;8;1;7]]
9_39,9a_32,[[1;12;2;13];[3;17;4;16];[5;10;6;11];[7;18;8;1];[9;14;10;15];[11;2;12;3];[13;6;14;7];[15;5;16;4];[17;8;18;9]]
9_40,9a_37,[[1;15;2;14];[3;12;4;13];[5;11;6;10];[7;3;8;2];[9;18;10;1];[11;17;12;16];[13;9;14;8];[15;6;16;7];[17;5;18;4]]
9_41,9a_29,[[1;15;2;14];[3;12;4;13];[5;16;6;17];[7;3;8;2];[9;18;10;1];[11;4;12;5];[13;9;14;8];[15;6;16;7];[17;10;18;11]]
9_42,9n_4,[[1;5;2;4];[5;11;6;10];[3;8;4;9];[9;2;10;3];[16;11;17;12];[14;8;15;7];[6;16;7;15];[18;13;1;14];[12;17;13;18]]
9_43,9n_3,[[1;9;2;8];[3;16;4;17];[5;1;6;18];[6;12;7;11];[9;3;10;2];[10;14;11;13];[12;8;13;7];[15;4;16;5];[17;15;18;14]]
9_44,9n_1,[[2;9;3;10];[3;16;4;17];[5;1;6;18];[6;12;7;11];[8;1;9;2];[10;14;11;13];[12;8;13;7];[15;4;16;5];[17;15;18;14]]
9_45,9n_2,[[2;9;3;10];[3;16;4;17];[5;1;6;18];[7;12;8;13];[8;1;9;2];[11;6;12;7];[13;10;14;11];[15;4;16;5];[17;15;18;14]]
9_46,9n_5,[[2;10;3;9];[3;14;4;15];[6;17;7;18];[8;11;9;12];[10;2;11;1];[13;4;14;5];[15;13;16;12];[16;7;17;8];[18;5;1;6]]
9_47,9n_7,[[1;15;2;14];[4;17;5;18];[6;16;7;15];[8;4;9;3];[10;5;11;6];[12;8;13;7];[13;3;14;2];[16;11;17;12];[18;10;1;9]]
9_48,9n_6,[[1;10;2;11];[3;14;4;15];[6;17;7;18];[9;2;10;3];[11;9;12;8];[13;4;14;5];[15;13;16;12];[16;7;17;8];[18;5;1;6]]
9_49,9n_8,[[1;15;2;14];[4;12;5;11];[6;16;7;15];[7;3;8;2];[10;18;11;17];[12;4;13;3];[13;9;14;8];[16;6;17;5];[18;10;1;9]]
10_1,10a_75,[[2;11;3;12];[4;20;5;19];[6;18;7;17];[8;16;9;15];[10;14;11;13];[12;1;13;2];[14;10;15;9];[16;8;17;7];[18;6;19;5];[20;4;1;3]]
10_2,10a_59,[[1;13;2;12];[3;14;4;15];[5;3;6;2];[7;17;8;16];[9;19;10;18];[11;1;12;20];[13;4;14;5];[15;7;16;6];[17;9;18;8];[19;11;20;10]]
10_3,10a_117,[[2;10;3;9];[4;17;5;18];[6;15;7;16];[8;4;9;3];[10;2;11;1];[12;20;13;19];[14;7;15;8];[16;5;17;6];[18;14;19;13];[20;12;1;11]]
10_4,10a_113,[[2;13;3;14];[4;11;5;12];[6;20;7;19];[8;18;9;17];[10;16;11;15];[12;1;13;2];[14;3;15;4];[16;10;17;9];[18;8;19;7];[20;6;1;5]]
10_5,10a_56,[[2;13;3;14];[4;17;5;18];[6;16;7;15];[8;6;9;5];[10;19;11;20];[12;1;13;2];[14;3;15;4];[16;8;17;7];[18;9;19;10];[20;11;1;12]]
10_6,10a_70,[[2;11;3;12];[4;16;5;15];[6;18;7;17];[8;20;9;19];[10;14;11;13];[12;1;13;2];[14;10;15;9];[16;6;17;5];[18;8;19;7];[20;4;1;3]]
