v1063,"[[[(18, 9, 19, 10), (10, 30, 11, 29), (11, 7, 12, 6), (7, 30, 8, 31), (8, 19, 9, 20), (20, 1, 21, 2), (33, 4, 34, 5), (2, 23, 3, 24), (24, 14, 25, 13), (3, 15, 4, 14), (26, 5, 27, 6), (15, 23, 16, 22), (31, 13, 32, 12), (21, 17, 22, 16), (32, 25, 33, 26), (27, 34, 28, 35), (35, 28, 0, 29), (17, 1, 18, 0)], [(1, 0), 'cc+-']]]"
v1126,"[[[(37, 24, 38, 25), (9, 18, 10, 19), (32, 19, 33, 20), (13, 37, 14, 36), (2, 32, 3, 31), (1, 9, 2, 8), (22, 39, 23, 40), (16, 11, 17, 12), (17, 34, 18, 35), (14, 25, 15, 26), (27, 5, 28, 4), (3, 20, 4, 21), (26, 15, 27, 16), (10, 34, 11, 33), (23, 6, 24, 7), (21, 28, 22, 29), (40, 30, 41, 29), (30, 0, 31, 41), (35, 13, 36, 12), (38, 6, 39, 5), (7, 1, 8, 0)], [(5, 9), 'cc+-']]]"
v1348,"[[[(20, 11, 21, 12), (9, 26, 10, 27), (2, 20, 3, 19), (32, 24, 33, 23), (16, 26, 17, 25), (27, 19, 28, 18), (24, 0, 25, 33), (3, 29, 4, 28), (29, 5, 30, 4), (5, 12, 6, 13), (13, 6, 14, 7), (30, 7, 31, 8), (10, 1, 11, 2), (8, 17, 9, 18), (21, 15, 22, 14), (22, 32, 23, 31), (15, 1, 16, 0)], [(2, 9), 'cc+-']]]"
v1434,"[[[(1, 13, 2, 12), (2, 32, 3, 31), (32, 4, 33, 3), (14, 6, 15, 5), (18, 29, 19, 30), (17, 10, 18, 11), (22, 33, 23, 34), (13, 25, 14, 24), (4, 24, 5, 23), (25, 7, 26, 6), (8, 28, 9, 27), (30, 12, 31, 11), (9, 20, 10, 21), (28, 19, 29, 20), (21, 17, 22, 16), (34, 15, 35, 16), (26, 0, 27, 35), (7, 1, 8, 0)], [(14, 6), 'cc+-']]]"
v1811,"[[[(8, 18, 9, 17), (3, 10, 4, 11), (26, 9, 27, 10), (2, 26, 3, 25), (27, 5, 28, 4), (6, 30, 7, 29), (19, 29, 20, 28), (18, 6, 19, 5), (30, 8, 31, 7), (16, 21, 17, 22), (15, 32, 16, 33), (31, 21, 32, 20), (22, 13, 23, 14), (33, 14, 0, 15), (24, 2, 25, 1), (12, 23, 13, 24), (11, 0, 12, 1)], [(0, 1), 'cc+-']]]"
v1935,"[[[(1, 8, 2, 9), (9, 7, 10, 6), (7, 2, 8, 3), (18, 4, 19, 3), (10, 19, 11, 20), (4, 16, 5, 15), (5, 25, 6, 24), (20, 11, 21, 12), (12, 21, 13, 22), (22, 13, 23, 14), (14, 23, 15, 24), (25, 16, 0, 17), (17, 0, 18, 1)], [(1, 0), 'cc+-']]]"
v1964,"[[[(6, 21, 7, 22), (13, 24, 14, 25), (5, 17, 6, 16), (20, 7, 21, 8), (23, 14, 24, 15), (17, 30, 18, 31), (31, 18, 0, 19), (8, 19, 9, 20), (28, 9, 29, 10), (22, 3, 23, 4), (2, 12, 3, 11), (15, 5, 16, 4), (10, 27, 11, 28), (25, 12, 26, 13), (1, 26, 2, 27), (29, 0, 30, 1)], [(2, 5), 'cc+-']]]"
v1971,"[[[(8, 16, 9, 15), (5, 27, 6, 26), (28, 4, 29, 3), (16, 8, 17, 7), (23, 14, 24, 15), (22, 33, 23, 34), (12, 31, 13, 32), (17, 24, 18, 25), (36, 25, 37, 26), (9, 35, 10, 34), (2, 30, 3, 29), (30, 39, 31, 40), (35, 7, 36, 6), (32, 0, 33, 41), (27, 20, 28, 21), (4, 20, 5, 19), (1, 39, 2, 38), (40, 12, 41, 11), (21, 11, 22, 10), (37, 18, 38, 19), (13, 1, 14, 0)], [(17, 4), 'cc+-']]]"
v2001,"[[[(4, 9, 5, 10), (8, 5, 9, 6), (2, 30, 3, 29), (20, 33, 21, 0), (22, 25, 23, 26), (12, 20, 13, 19), (30, 4, 31, 3), (21, 17, 22, 16), (6, 23, 7, 24), (18, 12, 19, 11), (26, 15, 27, 16), (24, 7, 25, 8), (32, 17, 33, 18), (31, 10, 32, 11), (28, 2, 29, 1), (14, 27, 15, 28), (13, 0, 14, 1)], [(2, 8), 'cc+-']]]"
v2257,"[[[(13, 36, 14, 37), (39, 29, 40, 28), (23, 16, 24, 17), (26, 36, 27, 35), (27, 2, 28, 3), (9, 40, 10, 41), (20, 42, 21, 41), (33, 4, 34, 5), (22, 7, 23, 8), (32, 26, 33, 25), (3, 34, 4, 35), (6, 16, 7, 15), (18, 21, 19, 22), (5, 24, 6, 25), (17, 9, 18, 8), (31, 14, 32, 15), (42, 20, 43, 19), (38, 1, 39, 2), (37, 12, 38, 13), (10, 29, 11, 30), (43, 30, 0, 31), (11, 1, 12, 0)], [(6, 0), 'cc+-']]]"
v2272,"[[[(1, 22, 2, 23), (3, 11, 4, 10), (21, 2, 22, 3), (20, 9, 21, 10), (11, 5, 12, 4), (8, 14, 9, 13), (15, 25, 16, 24), (12, 19, 13, 20), (7, 16, 8, 17), (17, 6, 18, 7), (5, 18, 6, 19), (25, 15, 0, 14), (23, 0, 24, 1)], [(1, 0), 'cc+-']]]"
v2508,"[[[(1, 21, 2, 20), (21, 5, 22, 4), (8, 3, 9, 4), (2, 9, 3, 10), (10, 27, 11, 0), (5, 14, 6, 15), (17, 6, 18, 7), (15, 23, 16, 22), (13, 18, 14, 19), (12, 25, 13, 26), (23, 17, 24, 16), (24, 7, 25, 8), (26, 11, 27, 12), (19, 1, 20, 0)], [(0, 5), 'cc+-']]]"
v2743,"[[[(17, 10, 18, 11), (22, 13, 23, 14), (19, 29, 20, 28), (4, 23, 5, 24), (8, 29, 9, 30), (31, 21, 32, 20), (24, 3, 25, 4), (30, 7, 31, 8), (25, 33, 26, 32), (14, 21, 15, 22), (1, 26, 2, 27), (9, 37, 10, 36), (2, 33, 3, 34), (11, 34, 12, 35), (5, 13, 6, 12), (15, 7, 16, 6), (35, 16, 36, 17), (18, 37, 19, 0), (27, 0, 28, 1)], [16, 'cc']]]"
v2861,"[[[(2, 17, 3, 18), (16, 3, 17, 4), (4, 15, 5, 16), (14, 5, 15, 6), (6, 24, 7, 23), (25, 20, 0, 21), (24, 11, 25, 12), (9, 19, 10, 18), (7, 12, 8, 13), (21, 9, 22, 8), (10, 1, 11, 2), (13, 22, 14, 23), (19, 0, 20, 1)], [(4, 11), 'cc+-']]]"
v2869,"[[[(5, 28, 6, 29), (33, 11, 34, 10), (29, 34, 30, 35), (12, 32, 13, 31), (27, 6, 28, 7), (13, 2, 14, 3), (11, 23, 12, 22), (30, 22, 31, 21), (23, 33, 24, 32), (24, 16, 25, 15), (9, 16, 10, 17), (1, 14, 2, 15), (17, 27, 18, 26), (18, 7, 19, 8), (20, 35, 21, 0), (8, 25, 9, 26), (4, 19, 5, 20), (3, 1, 4, 0)], [(1, 5), 'cc+-']]]"
v2888,"[[[(2, 33, 3, 34), (13, 36, 14, 37), (9, 40, 10, 41), (1, 12, 2, 13), (14, 22, 15, 21), (23, 4, 24, 5), (5, 24, 6, 25), (22, 16, 23, 15), (3, 19, 4, 18), (27, 8, 28, 9), (16, 36, 17, 35), (34, 18, 35, 17), (20, 26, 21, 25), (19, 7, 20, 6), (38, 7, 39, 8), (37, 26, 38, 27), (28, 39, 29, 40), (41, 30, 0, 31), (10, 29, 11, 30), (32, 11, 33, 12), (31, 0, 32, 1)], [(4, 0), 'cc+-']]]"
